"Feature_ID","Split","Range_time","Mzmine_ID","mass","RT","IL","Metabolite","NIST_Number","InChIKey","classyfireR_Superclass","classyfireR_Class","classyfireR_Subclass","Kegg_ID","Column","Ion_Mode","Flag","Detection_rate_Group_Blank","Detection_rate_Group_Callus","Detection_rate_Group_developing_meristem","Detection_rate_Group_leaf","Detection_rate_Group_undeveloped_explant","Detection_rate_Group_undeveloped_meristem","Detection_rate_QC","RSD","RSD_r","D_ratio","D_ratio_r","DC_note","Blank_ratio","MPA","Cluster_ID","Cluster_size","Cluster_features"
"Rtx5_EI_97_0730213518244a9_439118","Rtx5_EI","3-40min",1277,97.0730213518244,9.439118,"Level: III","N,N'-Ethylenebis-acrylamide","NIST#: 342729","AYGYHGXUJBFUJU-UHFFFAOYSA-N","Organic acids and derivatives","Carboxylic acids and derivatives","Acrylic acids and derivatives","-","Rtx5","EI",NA,0,1,0.666666666666667,0.666666666666667,0,0,1,0.101447863216951,0.0889563439513594,0.0221318348097996,0.135322798132792,"Drift_corrected",NA,1462.23063928164,"Cluster_Rtx5_EI_97_0730213518244a9_439118",3,"Rtx5_EI_72_0487166075069a9_440001;Rtx5_EI_97_0730213518244a9_439118;Rtx5_EI_98_0711756392233a9_442391"
"Rtx5_EI_127_05923321821a9_439643","Rtx5_EI","3-40min",1278,127.05923321821,9.439643,NA,NA,NA,NA,NA,NA,NA,NA,"Rtx5","EI","Low_qc_detection",0,0.666666666666667,0.333333333333333,0,0,0,0.384615384615385,0.0192650080464633,0.00813585651071959,0.00627672833532739,0.00200726532563818,"Drift_corrected",NA,NA,NA,NA,NA
"Rtx5_EI_72_0487166075069a9_440001","Rtx5_EI","3-40min",1280,72.0487166075069,9.440001,NA,NA,NA,NA,NA,NA,NA,NA,"Rtx5","EI",NA,0,1,0.666666666666667,0.444444444444444,0,0,1,0.0771314138397744,0.0967236126239144,0.0240865613361512,0.13155260979205,"Drift_corrected",NA,1071.2789622482,"Cluster_Rtx5_EI_97_0730213518244a9_439118",3,"Rtx5_EI_72_0487166075069a9_440001;Rtx5_EI_97_0730213518244a9_439118;Rtx5_EI_98_0711756392233a9_442391"
"Rtx5_EI_98_0711756392233a9_442391","Rtx5_EI","3-40min",1281,98.0711756392233,9.442391,NA,NA,NA,NA,NA,NA,NA,NA,"Rtx5","EI",NA,0,1,0.111111111111111,0,0,0,1,0.122486130160192,0.159624087215923,0.0490277318414137,0.219729687998382,"Drift_corrected",NA,881.967330926099,"Cluster_Rtx5_EI_97_0730213518244a9_439118",3,"Rtx5_EI_72_0487166075069a9_440001;Rtx5_EI_97_0730213518244a9_439118;Rtx5_EI_98_0711756392233a9_442391"
"Rtx5_EI_70_0391375476719a9_4425","Rtx5_EI","3-40min",1282,70.0391375476719,9.4425,NA,NA,NA,NA,NA,NA,NA,NA,"Rtx5","EI","Low_qc_detection",0,0.666666666666667,0,0,0,0,0,NA,NA,NA,NA,"Missing_QCS",NA,NA,NA,NA,NA
"Rtx5_EI_57_0159546852454a9_4475","Rtx5_EI","3-40min",1284,57.0159546852454,9.4475,NA,NA,NA,NA,NA,NA,NA,NA,"Rtx5","EI","Low_group_detection",0,0.444444444444444,0,0,0,0,0.769230769230769,0.0324933396358719,0.0321232418410912,0.0148134530689392,0.500436788784992,"Drift_corrected",NA,NA,NA,NA,NA
"Rtx5_EI_86_0430130831663a9_448599","Rtx5_EI","3-40min",1285,86.0430130831663,9.448599,NA,NA,NA,NA,NA,NA,NA,NA,"Rtx5","EI",NA,0,0.666666666666667,0.666666666666667,0,0,0,1,0.0632705727867351,0.0351518862886709,0.0353238708357564,0.114542186053083,"Drift_corrected",NA,1424.59280713068,"Rtx5_EI_86_0430130831663a9_448599",1,"Rtx5_EI_86_0430130831663a9_448599"
"Rtx5_EI_56_0085440138061a9_4575","Rtx5_EI","3-40min",1286,56.0085440138061,9.4575,NA,NA,NA,NA,NA,NA,NA,NA,"Rtx5","EI","Low_qc_detection",0,0.444444444444444,0,0,0,0,0,NA,NA,NA,NA,"Missing_QCS",NA,NA,NA,NA,NA
"Rtx5_EI_140_04714461721a9_4975","Rtx5_EI","3-40min",1287,140.04714461721,9.4975,NA,NA,NA,NA,NA,NA,NA,NA,"Rtx5","EI","Low_qc_detection",0,0.666666666666667,0,0,0,0,0,NA,NA,NA,NA,"Missing_QCS",NA,NA,NA,NA,NA
"Rtx5_EI_85_0510549562345a9_498704","Rtx5_EI","3-40min",1288,85.0510549562345,9.498704,NA,NA,NA,NA,NA,NA,NA,NA,"Rtx5","EI","Low_qc_detection",0,1,0.333333333333333,0.444444444444444,0.444444444444444,0.333333333333333,0.307692307692308,0.0674424576004359,0.0703655050394181,0.0301303338581423,0.690641182234138,"Drift_corrected",NA,NA,NA,NA,NA
